ID,Cord (m),SSD_Thickness (m)
1014,0.0254,0.000848633
1188,0.0254,0.0172206
1117,0.0254,0.0121808
1313,0.1016,0.002211
283,0.2286,0.00346574
552,0.1524,0.00401199
424,0.2286,0.0123481
303,0.2286,0.00400603
698,0.1524,0.0483159
326,0.2286,0.0042862
1395,0.1016,0.0124596
625,0.1524,0.00909175
270,0.2286,0.00313525
721,0.1524,0.0584113
228,0.2286,0.00253511
1318,0.1016,0.002211
1110,0.0254,0.00461377
895,0.0508,0.0271925
1338,0.1016,0.00251435
517,0.1524,0.00243851
144,0.3048,0.00529514
390,0.2286,0.00614329
1339,0.1016,0.00251435
574,0.1524,0.00485029
903,0.0508,0.0282593
655,0.1524,0.0208438
48,0.3048,0.00310138
939,0.0508,0.0341183
803,0.0508,0.00529514
1024,0.0254,0.000873218
1251,0.1016,0.00121072
1027,0.0254,0.000873218
546,0.1524,0.00401199
1159,0.0254,0.016104
1149,0.0254,0.016104
966,0.0254,0.000400682
671,0.1524,0.0233328
393,0.2286,0.0104404
1217,0.0254,0.0214178
1357,0.1016,0.0052139
708,0.1524,0.0483159
830,0.0508,0.00566229
314,0.2286,0.00400603
426,0.2286,0.0123481
628,0.1524,0.00909175
1431,0.1016,0.0368233
1168,0.0254,0.0165706
1238,0.0254,0.0229028
1434,0.1016,0.0368233
334,0.2286,0.00473801
1207,0.0254,0.0176631
670,0.1524,0.0233328
344,0.2286,0.00473801
833,0.0508,0.00580776
531,0.1524,0.00294804
170,0.3048,0.00497773
1112,0.0254,0.00461377
1255,0.1016,0.00131983
572,0.1524,0.00485029
548,0.1524,0.00401199
425,0.2286,0.0123481
866,0.0508,0.0150478
740,0.0508,0.00076193
1310,0.1016,0.002211
652,0.1524,0.0208438
476,0.1524,0.00172668
1447,0.1016,0.0408268
340,0.2286,0.00473801
1151,0.0254,0.016104
542,0.1524,0.00401199
590,0.1524,0.00525474
1463,0.1016,0.0418756
997,0.0254,0.000439472
837,0.0508,0.00580776
1423,0.1016,0.0337792
988,0.0254,0.000428464
420,0.2286,0.0111706
398,0.2286,0.0104404
623,0.1524,0.00909175
703,0.1524,0.0483159
1329,0.1016,0.00245138
46,0.3048,0.00310138
1233,0.0254,0.0229028
595,0.1524,0.00525474
786,0.0508,0.00142788
995,0.0254,0.000439472
1400,0.1016,0.0124596
384,0.2286,0.00614329
1170,0.0254,0.0165706
1025,0.0254,0.000873218
1017,0.0254,0.000848633
596,0.1524,0.00525474
972,0.0254,0.000400682
4,0.3048,0.00266337
926,0.0508,0.0289853
1344,0.1016,0.00251435
1004,0.0254,0.000439472
405,0.2286,0.0104404
619,0.1524,0.00909175
1319,0.1016,0.002211
886,0.0508,0.0264269
1100,0.0254,0.00461377
597,0.1524,0.00752039
295,0.2286,0.00372371
289,0.2286,0.00372371
994,0.0254,0.000428464
402,0.2286,0.0104404
822,0.0508,0.00566229
527,0.1524,0.00294804
1094,0.0254,0.00449821
1443,0.1016,0.0408268
1369,0.1016,0.00592927
538,0.1524,0.00294804
159,0.3048,0.00497773
653,0.1524,0.0208438
315,0.2286,0.00400603
801,0.0508,0.00529514
72,0.3048,0.00336729
1257,0.1016,0.00131983
1183,0.0254,0.0172206
1153,0.0254,0.016104
409,0.2286,0.0111706
7,0.3048,0.00266337
135,0.3048,0.00495741
857,0.0508,0.0150478
970,0.0254,0.000400682
1205,0.0254,0.0176631
780,0.0508,0.00142788
762,0.0508,0.000791822
138,0.3048,0.00495741
431,0.2286,0.0123481
1111,0.0254,0.00461377
55,0.3048,0.00331266
28,0.3048,0.00283081
185,0.3048,0.00579636
944,0.0508,0.0341183
1495,0.1016,0.0528487
1479,0.1016,0.0437259
1203,0.0254,0.0176631
1279,0.1016,0.00146332
108,0.3048,0.00425727
1437,0.1016,0.0368233
274,0.2286,0.00346574
109,0.3048,0.00425727
206,0.2286,0.00229336
673,0.1524,0.0233328
1020,0.0254,0.000873218
410,0.2286,0.0111706
644,0.1524,0.0193001
750,0.0508,0.00076193
1482,0.1016,0.0437259
